scheme,scheme_id,estimand,level,target,uar,macro_f1,accuracy
Adjusted MuQ,muq_multitask_inner_prior_adjusted,aria_equal_weighted,target_macro,ALL,0.37437245473426073,0.3554426015132227,0.5470957253779812
Adjusted MuQ,muq_multitask_inner_prior_adjusted,aria_fold_mean_global_class,target_macro,ALL,0.37464645318392,0.33600556999350906,0.5470957253779812
Adjusted MuQ,muq_multitask_inner_prior_adjusted,aria_fold_mean_present_class,target_macro,ALL,0.39834720035831184,0.35632257417899177,0.5470957253779812
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,segment_weighted,target,chest_resonance,0.3753514724385595,0.33161686011035774,0.4207175925925926
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,segment_weighted,target,head_resonance,0.3365391972620307,0.3211795898465696,0.43113425925925924
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,segment_weighted,target,front_placement,0.400459407629478,0.3796787267440614,0.625
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,segment_weighted,target,back_placement,0.4033448603577452,0.35308771252204907,0.5425347222222222
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,segment_weighted,target,open_throat,0.3049561581591841,0.2884011453811655,0.5147569444444444
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,segment_weighted,target,breathiness,0.5108891360893891,0.473376712216318,0.6374421296296297
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,segment_weighted,target,vibrato,0.35704281655703385,0.35470154723214403,0.5772569444444444
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,segment_weighted,target_macro,ALL,0.38408329264191726,0.357434613436095,0.5355489417989417
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,source_equal_weighted,target,chest_resonance,0.38789223097915015,0.33103282211920115,0.43545179495674563
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,source_equal_weighted,target,head_resonance,0.3366702838959612,0.32009651094886976,0.4352263908542263
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,source_equal_weighted,target,front_placement,0.3996635652754852,0.3724554396578927,0.6186193374342006
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,source_equal_weighted,target,back_placement,0.36399684477974,0.32894079692665584,0.5199997639324816
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,source_equal_weighted,target,open_throat,0.3187742856229636,0.28983682105521763,0.5097210848999744
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,source_equal_weighted,target,breathiness,0.5127733729355772,0.4778025085636955,0.6589814197659548
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,source_equal_weighted,target,vibrato,0.36671486414718285,0.3622646542523867,0.6048015824454771
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,source_equal_weighted,target_macro,ALL,0.38378363537658,0.3546327933605599,0.5404001963270086
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,aria_equal_weighted,target,chest_resonance,0.39256914370426166,0.3395121151925954,0.4564399692015324
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,aria_equal_weighted,target,head_resonance,0.3291579797187876,0.30781472794060366,0.4296766546779457
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,aria_equal_weighted,target,front_placement,0.4084670989089551,0.3866773980947367,0.6005702672931318
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,aria_equal_weighted,target,back_placement,0.35809633840294786,0.322304020148406,0.47009928896027914
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,aria_equal_weighted,target,open_throat,0.33177260487826715,0.30386217287433614,0.49998641006820477
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,aria_equal_weighted,target,breathiness,0.5154757456243556,0.4927632159465419,0.6922453733168392
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,aria_equal_weighted,target,vibrato,0.3734013879348088,0.36950076076466104,0.6486496914467959
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,aria_equal_weighted,target_macro,ALL,0.38699147131034056,0.36034777299455445,0.5425239507092469
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,aria_fold_mean_global_class,target_macro,ALL,0.3821185096197444,0.3334614713715389,0.5425239507092469
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,aria_fold_mean_present_class,target_macro,ALL,0.40605347592567126,0.35379578160210823,0.5425239507092469
