outer_fold,source_scheme,target,selection_uar_weight,selection_macro_f1_weight,selected_tau,inner_selection_score,inner_uar,inner_macro_f1,inner_repeat
3,muq_multitask,head_resonance,0.5,0.5,1.0,0.4118171566177321,0.4636990200906697,0.3599352931447945,2
3,muq_multitask,front_placement,0.5,0.5,1.0,0.3754635498389064,0.3896765998352101,0.3612504998426027,2
3,muq_multitask,back_placement,0.5,0.5,0.75,0.3887442193909811,0.4029251399941055,0.3745632987878566,2
3,muq_multitask,open_throat,0.5,0.5,0.75,0.3374529174689893,0.3424908862461951,0.3324149486917834,2
3,muq_multitask,breathiness,0.5,0.5,0.75,0.5637370985115551,0.5659583333333333,0.5615158636897767,2
3,muq_multitask,vibrato,0.5,0.5,0.0,0.5340210659603868,0.5535032404974601,0.5145388914233135,2
4,muq_multitask,chest_resonance,0.5,0.5,0.0,0.3291932747538399,0.3288824884792627,0.3295040610284172,2
4,muq_multitask,head_resonance,0.5,0.5,0.25,0.3849883649065052,0.3941057270834482,0.3758710027295622,2
4,muq_multitask,front_placement,0.5,0.5,0.75,0.4482374091595456,0.4894905408384227,0.4069842774806684,2
4,muq_multitask,back_placement,0.5,0.5,0.5,0.3933610383284708,0.416009324009324,0.3707127526476176,2
4,muq_multitask,open_throat,0.5,0.5,0.75,0.337266308250719,0.3741758522559162,0.3003567642455219,2
4,muq_multitask,breathiness,0.5,0.5,0.25,0.509285498598548,0.5097517140384744,0.5088192831586216,2
4,muq_multitask,vibrato,0.5,0.5,0.75,0.4324413001237359,0.4874675975424392,0.3774150027050327,2
5,muq_multitask,chest_resonance,0.5,0.5,0.25,0.4268042011854535,0.4392532875509707,0.4143551148199363,2
5,muq_multitask,head_resonance,0.5,0.5,0.0,0.4131838604768774,0.4236136767523423,0.4027540442014126,2
5,muq_multitask,front_placement,0.5,0.5,0.75,0.4394330942418102,0.4753565488312217,0.4035096396523988,2
5,muq_multitask,back_placement,0.5,0.5,0.75,0.4182590774478282,0.4961327829073422,0.3403853719883142,2
5,muq_multitask,open_throat,0.5,0.5,0.0,0.3396258330220539,0.3453367600120732,0.3339149060320348,2
5,muq_multitask,breathiness,0.5,0.5,0.75,0.5751198493839762,0.6309856107324462,0.5192540880355062,2
5,muq_multitask,vibrato,0.5,0.5,0.25,0.376030947611748,0.3927484106356237,0.3593134845878723,2
0,muq_multitask,chest_resonance,0.5,0.5,0.25,0.3951665738080789,0.4083261042434757,0.3820070433726821,3
0,muq_multitask,head_resonance,0.5,0.5,0.25,0.413660315159443,0.4363927138214132,0.3909279164974729,3
0,muq_multitask,front_placement,0.5,0.5,0.75,0.4376513496886413,0.4645250709766839,0.4107776284005985,3
0,muq_multitask,back_placement,0.5,0.5,0.0,0.4000554605260888,0.4066716632675367,0.393439257784641,3
0,muq_multitask,open_throat,0.5,0.5,0.25,0.3591998456215052,0.3833227463764642,0.3350769448665462,3
0,muq_multitask,breathiness,0.5,0.5,0.25,0.5213838530786268,0.5209173763633648,0.5218503297938887,3
0,muq_multitask,vibrato,0.5,0.5,0.75,0.4950483370326749,0.5429059387468067,0.4471907353185431,3
1,muq_multitask,chest_resonance,0.5,0.5,0.25,0.3982728982408461,0.4093311464731063,0.387214650008586,3
1,muq_multitask,head_resonance,0.5,0.5,0.0,0.3172048032319084,0.3179298342424178,0.316479772221399,3
1,muq_multitask,front_placement,0.5,0.5,0.75,0.3913311209919441,0.4190629367776963,0.3635993052061918,3
1,muq_multitask,back_placement,0.5,0.5,0.75,0.4248480248386294,0.4542073461331584,0.3954887035441004,3
1,muq_multitask,open_throat,0.5,0.5,0.0,0.4024349654151462,0.3944495356793744,0.4104203951509181,3
1,muq_multitask,breathiness,0.5,0.5,0.5,0.544087350477789,0.5644300309952933,0.5237446699602847,3
1,muq_multitask,vibrato,0.5,0.5,0.0,0.4840838816480368,0.4965194327897493,0.4716483305063243,3
2,muq_multitask,chest_resonance,0.5,0.5,0.5,0.3900235180344297,0.4469638287854026,0.3330832072834568,3
2,muq_multitask,head_resonance,0.5,0.5,0.0,0.3699129889243961,0.3717981174096113,0.3680278604391809,3
2,muq_multitask,front_placement,0.5,0.5,0.75,0.4190588159741792,0.4573684796395731,0.3807491523087853,3
2,muq_multitask,back_placement,0.5,0.5,0.5,0.4397638003626671,0.4755019218736033,0.4040256788517309,3
2,muq_multitask,open_throat,0.5,0.5,0.25,0.38912946638867,0.4237442762042392,0.3545146565731008,3
2,muq_multitask,breathiness,0.5,0.5,0.25,0.5613316389659231,0.5744719859196246,0.5481912920122217,3
2,muq_multitask,vibrato,0.5,0.5,0.0,0.3920299721611797,0.4127315438249992,0.3713284004973603,3
3,muq_multitask,chest_resonance,0.5,0.5,0.75,0.4118110129141203,0.4767493915034898,0.3468726343247508,3
3,muq_multitask,head_resonance,0.5,0.5,0.25,0.3912945957788802,0.4023013401922296,0.3802878513655308,3
3,muq_multitask,front_placement,0.5,0.5,1.0,0.3897189945111068,0.4019954714018843,0.3774425176203292,3
3,muq_multitask,back_placement,0.5,0.5,0.0,0.423085839029006,0.429713175288948,0.4164585027690639,3
3,muq_multitask,open_throat,0.5,0.5,1.0,0.4116008558160129,0.4840361044497735,0.3391656071822523,3
3,muq_multitask,breathiness,0.5,0.5,1.0,0.5977820482746592,0.604290345669656,0.5912737508796623,3
3,muq_multitask,vibrato,0.5,0.5,0.25,0.4496716668118858,0.4509680601800469,0.4483752734437248,3
4,muq_multitask,chest_resonance,0.5,0.5,0.5,0.3678213651570495,0.3905470973747189,0.3450956329393801,3
4,muq_multitask,head_resonance,0.5,0.5,0.0,0.3622034039281081,0.3747475565039304,0.3496592513522857,3
4,muq_multitask,front_placement,0.5,0.5,0.25,0.3896936708928439,0.3903594771241829,0.3890278646615048,3
4,muq_multitask,back_placement,0.5,0.5,0.5,0.4490526566102112,0.4963224510765494,0.401782862143873,3
4,muq_multitask,open_throat,0.5,0.5,0.0,0.3749161861030253,0.3800353632320845,0.3697970089739661,3
4,muq_multitask,breathiness,0.5,0.5,0.5,0.6143672810575729,0.6378845116028062,0.5908500505123394,3
4,muq_multitask,vibrato,0.5,0.5,0.25,0.4609214567628635,0.4622691879866518,0.4595737255390752,3
5,muq_multitask,chest_resonance,0.5,0.5,1.0,0.3468363727213771,0.4370182032787222,0.256654542164032,3
5,muq_multitask,head_resonance,0.5,0.5,0.0,0.395577277214006,0.4079562042382496,0.3831983501897624,3
5,muq_multitask,front_placement,0.5,0.5,0.75,0.4099902666845155,0.4617531766178909,0.3582273567511402,3
