outer_fold,inner_repeat,encoder,layer,inner_utility,selected,selection_model,selection_seed
2,3,muq,12,0.3893462821238589,False,muq_multitask,17
3,3,mert,3,0.3846683656806062,False,mert_multitask,17
3,3,mert,6,0.3958624153443671,True,mert_multitask,17
3,3,mert,9,0.3784093512489266,False,mert_multitask,17
3,3,mert,12,0.3746939222772719,False,mert_multitask,17
3,3,muq,3,0.3967615484411958,False,muq_multitask,17
3,3,muq,6,0.397621607678671,False,muq_multitask,17
3,3,muq,9,0.4099940743775702,True,muq_multitask,17
3,3,muq,12,0.4067592831848752,False,muq_multitask,17
4,3,mert,3,0.4062745955225638,True,mert_multitask,17
4,3,mert,6,0.3913138458015795,False,mert_multitask,17
4,3,mert,9,0.3869232395429344,False,mert_multitask,17
4,3,mert,12,0.3859289758408222,False,mert_multitask,17
4,3,muq,3,0.4131494401797366,True,muq_multitask,17
4,3,muq,6,0.3894824327985849,False,muq_multitask,17
4,3,muq,9,0.4105378253469243,False,muq_multitask,17
4,3,muq,12,0.3984256744398641,False,muq_multitask,17
5,3,mert,3,0.408936239084242,True,mert_multitask,17
5,3,mert,6,0.3935980520319004,False,mert_multitask,17
5,3,mert,9,0.3893212675474378,False,mert_multitask,17
5,3,mert,12,0.3986494621537377,False,mert_multitask,17
5,3,muq,3,0.3986355626971676,False,muq_multitask,17
5,3,muq,6,0.4001019588901896,False,muq_multitask,17
5,3,muq,9,0.4031792904624753,True,muq_multitask,17
5,3,muq,12,0.3962932685186829,False,muq_multitask,17
0,4,mert,3,0.3959375686821764,False,mert_multitask,17
0,4,mert,6,0.4090930167273202,False,mert_multitask,17
0,4,mert,9,0.3981889320304964,False,mert_multitask,17
0,4,mert,12,0.4152468753014137,True,mert_multitask,17
0,4,muq,3,0.4224048824325783,False,muq_multitask,17
0,4,muq,6,0.4292934689758821,False,muq_multitask,17
0,4,muq,9,0.4276030832773678,False,muq_multitask,17
0,4,muq,12,0.4312345048802911,True,muq_multitask,17
1,4,mert,3,0.3798849712487812,False,mert_multitask,17
1,4,mert,6,0.3833650449317484,True,mert_multitask,17
1,4,mert,9,0.3787754352518634,False,mert_multitask,17
1,4,mert,12,0.3739006987773474,False,mert_multitask,17
1,4,muq,3,0.3937542057429535,False,muq_multitask,17
1,4,muq,6,0.3910548089100357,False,muq_multitask,17
1,4,muq,9,0.3930051884162842,False,muq_multitask,17
1,4,muq,12,0.3963436626509726,True,muq_multitask,17
2,4,mert,3,0.3832336003873238,False,mert_multitask,17
2,4,mert,6,0.3864064937149319,True,mert_multitask,17
2,4,mert,9,0.3740724673095665,False,mert_multitask,17
2,4,mert,12,0.3739811831053797,False,mert_multitask,17
2,4,muq,3,0.3688001712006863,False,muq_multitask,17
2,4,muq,6,0.3738260459717964,False,muq_multitask,17
2,4,muq,9,0.3741829420509129,True,muq_multitask,17
2,4,muq,12,0.3660982216307999,False,muq_multitask,17
3,4,mert,3,0.3969784869201057,False,mert_multitask,17
3,4,mert,6,0.4069276053512657,False,mert_multitask,17
3,4,mert,9,0.4129024459443897,True,mert_multitask,17
3,4,mert,12,0.3924783596650237,False,mert_multitask,17
3,4,muq,3,0.4423953836214208,True,muq_multitask,17
3,4,muq,6,0.4272448066113621,False,muq_multitask,17
3,4,muq,9,0.4393867494772485,False,muq_multitask,17
3,4,muq,12,0.4228330105642382,False,muq_multitask,17
4,4,mert,3,0.3995046729942382,False,mert_multitask,17
4,4,mert,6,0.4021733052557006,True,mert_multitask,17
4,4,mert,9,0.3943501992769521,False,mert_multitask,17
4,4,mert,12,0.397835690494585,False,mert_multitask,17
4,4,muq,3,0.4128331583791483,False,muq_multitask,17
4,4,muq,6,0.4067569590891519,False,muq_multitask,17
4,4,muq,9,0.4205081529581542,True,muq_multitask,17
4,4,muq,12,0.4143480206341198,False,muq_multitask,17
5,4,mert,3,0.3783331029201512,False,mert_multitask,17
5,4,mert,6,0.3845679012464406,True,mert_multitask,17
5,4,mert,9,0.3801917726754285,False,mert_multitask,17
5,4,mert,12,0.3742410338184854,False,mert_multitask,17
5,4,muq,3,0.3940150169165471,False,muq_multitask,17
5,4,muq,6,0.3991222613252193,True,muq_multitask,17
5,4,muq,9,0.3964600829369337,False,muq_multitask,17
5,4,muq,12,0.3954418605043262,False,muq_multitask,17
