method,estimand,level,target,uar,macro_f1,accuracy
Class-bias-adjusted MERT/MuQ feature concatenation,segment_weighted,target,head_resonance,0.32495802281488195,0.3139944694454837,0.4375
Class-bias-adjusted MERT/MuQ feature concatenation,segment_weighted,target,open_throat,0.308146975114396,0.2893605779017117,0.5034722222222222
Class-bias-adjusted MERT/MuQ feature concatenation,segment_weighted,target,vibrato,0.39181955071425784,0.3650883319055793,0.5564236111111112
Class-bias-adjusted MERT/MuQ feature concatenation,segment_weighted,target_macro,ALL,0.3704571695171152,0.352964132396085,0.5464616402116402
Class-bias-adjusted MERT/MuQ feature concatenation,source_equal_weighted,target,back_placement,0.345312121700037,0.3420010398141347,0.6108082965087547
Class-bias-adjusted MERT/MuQ feature concatenation,source_equal_weighted,target,breathiness,0.4843883125264671,0.4677532083878602,0.6717236035652184
Class-bias-adjusted MERT/MuQ feature concatenation,source_equal_weighted,target,chest_resonance,0.34364655761918367,0.3088679412518048,0.4249160660583711
Class-bias-adjusted MERT/MuQ feature concatenation,source_equal_weighted,target,front_placement,0.37419976016089856,0.3605615703351123,0.6403563776827581
Class-bias-adjusted MERT/MuQ feature concatenation,source_equal_weighted,target,head_resonance,0.32394489483897454,0.31290762744861417,0.4422354662978315
Class-bias-adjusted MERT/MuQ feature concatenation,source_equal_weighted,target,open_throat,0.31972441458158174,0.28983297455325685,0.5017642864494866
Class-bias-adjusted MERT/MuQ feature concatenation,source_equal_weighted,target,vibrato,0.3874122648548241,0.36261136594322246,0.5732253632126302
Class-bias-adjusted MERT/MuQ feature concatenation,source_equal_weighted,target_macro,ALL,0.3683754751831381,0.3492193896762865,0.5521470656821501
Class-bias-adjusted MERT/MuQ feature concatenation,aria_equal_weighted,target,back_placement,0.33190658568811954,0.33249004401266047,0.5565875048218071
Class-bias-adjusted MERT/MuQ feature concatenation,aria_equal_weighted,target,breathiness,0.48067205802140744,0.47055894635313544,0.6821818856597263
Class-bias-adjusted MERT/MuQ feature concatenation,aria_equal_weighted,target,chest_resonance,0.33479365477539724,0.3014603019096467,0.41526338892538023
Class-bias-adjusted MERT/MuQ feature concatenation,aria_equal_weighted,target,front_placement,0.3791530599919731,0.37029291480418863,0.6196142651578797
Class-bias-adjusted MERT/MuQ feature concatenation,aria_equal_weighted,target,head_resonance,0.3150155612101023,0.30165802311772766,0.43881068889199526
Class-bias-adjusted MERT/MuQ feature concatenation,aria_equal_weighted,target,open_throat,0.3194048771078593,0.2982669990660864,0.4843342494717747
Class-bias-adjusted MERT/MuQ feature concatenation,aria_equal_weighted,target,vibrato,0.3929766211488445,0.3723900761767933,0.6153861093927854
Class-bias-adjusted MERT/MuQ feature concatenation,aria_equal_weighted,target_macro,ALL,0.36484605970624334,0.34958818649146267,0.5445968703316212
Class-bias-adjusted MERT/MuQ posterior fusion,segment_weighted,target,back_placement,0.4033448603577452,0.35308771252204907,0.5425347222222222
Class-bias-adjusted MERT/MuQ posterior fusion,segment_weighted,target,breathiness,0.5108891360893891,0.473376712216318,0.6374421296296297
Class-bias-adjusted MERT/MuQ posterior fusion,segment_weighted,target,chest_resonance,0.3753514724385595,0.33161686011035774,0.4207175925925926
Class-bias-adjusted MERT/MuQ posterior fusion,segment_weighted,target,front_placement,0.400459407629478,0.3796787267440614,0.625
Class-bias-adjusted MERT/MuQ posterior fusion,segment_weighted,target,head_resonance,0.3365391972620307,0.3211795898465696,0.43113425925925924
Class-bias-adjusted MERT/MuQ posterior fusion,segment_weighted,target,open_throat,0.3049561581591841,0.2884011453811655,0.5147569444444444
Class-bias-adjusted MERT/MuQ posterior fusion,segment_weighted,target,vibrato,0.35704281655703385,0.35470154723214403,0.5772569444444444
Class-bias-adjusted MERT/MuQ posterior fusion,segment_weighted,target_macro,ALL,0.38408329264191726,0.357434613436095,0.5355489417989417
Class-bias-adjusted MERT/MuQ posterior fusion,source_equal_weighted,target,back_placement,0.36399684477974054,0.32894079692665645,0.5199997639324828
Class-bias-adjusted MERT/MuQ posterior fusion,source_equal_weighted,target,breathiness,0.5127733729355761,0.477802508563695,0.6589814197659547
Class-bias-adjusted MERT/MuQ posterior fusion,source_equal_weighted,target,chest_resonance,0.3878922309791508,0.33103282211920193,0.43545179495674674
Class-bias-adjusted MERT/MuQ posterior fusion,source_equal_weighted,target,front_placement,0.39966356527548524,0.37245543965789346,0.618619337434202
Class-bias-adjusted MERT/MuQ posterior fusion,source_equal_weighted,target,head_resonance,0.33667028389596215,0.32009651094887065,0.43522639085422676
Class-bias-adjusted MERT/MuQ posterior fusion,source_equal_weighted,target,open_throat,0.3187742856229644,0.28983682105521863,0.5097210848999764
Class-bias-adjusted MERT/MuQ posterior fusion,source_equal_weighted,target,vibrato,0.36671486414718374,0.36226465425238746,0.6048015824454775
Class-bias-adjusted MERT/MuQ posterior fusion,source_equal_weighted,target_macro,ALL,0.3837836353765804,0.35463279336056047,0.5404001963270096
Class-bias-adjusted MERT/MuQ posterior fusion,aria_equal_weighted,target,back_placement,0.3580963384029498,0.3223040201484085,0.4700992889602873
Class-bias-adjusted MERT/MuQ posterior fusion,aria_equal_weighted,target,breathiness,0.5154757456243536,0.49276321594654093,0.6922453733168447
Class-bias-adjusted MERT/MuQ posterior fusion,aria_equal_weighted,target,chest_resonance,0.3925691437042651,0.33951211519259794,0.4564399692015324
Class-bias-adjusted MERT/MuQ posterior fusion,aria_equal_weighted,target,front_placement,0.40846709890895744,0.3866773980947389,0.6005702672931373
Class-bias-adjusted MERT/MuQ posterior fusion,aria_equal_weighted,target,head_resonance,0.32915797971879035,0.30781472794060694,0.42967665467794663
